Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/xsw/spark-work/kubernetes-client/platforms/karaf/itests/target/exam/5de20d6d-d430-4db9-858f-02479199e838/lock
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Dec 31, 2019 2:10:11 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.2
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.automaton/1.11-8_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.conscrypt-openjdk/1.4.2_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.generex/1.0.1_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.okhttp/3.12.0_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.okio/1.15.0_1
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.apache.sshd/sshd-core/1.7.0
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-builtins/3.9.0
2019-12-31T14:10:13,987 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.2 |       mvn:org.jline/jline-reader/3.9.0
