GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,OutputStreamMessage,33,0,0,0,7,0,2,0,2,0
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,KubernetesAttributesExtractor,85,384,22,32,15,61,20,17,1,9
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,KubernetesServer,121,0,2,0,26,0,13,0,12,0
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,KubernetesMockServer,37,72,0,0,9,17,2,9,2,9
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,KubernetesResponseComposer,47,0,4,0,12,0,5,0,3,0
Fabric8 :: Kubernetes :: Server Mock,io.fabric8.kubernetes.client.server.mock,KubernetesCrudDispatcher,101,0,8,0,21,0,8,0,4,0
